Protein,Metabolite,Interaction
P0A7V3,L-Met,0
P0A7V3,L-Phe,1
P0A7V3,L-Val,0
P0A7V3,L-Gln,0
P0A7V3,Pyr,0
P0A7V3,AKG,1
P0A7V3,Mal,1
P0A7V3,Cit,1
P0A7V3,G6P,1
P0A7V3,R5P,0
P0A7V3,PGP,1
P0A7V3,FBP,1
P0A7V3,PEP,1
P0A7V3,NAD,0
P0A7V3,NADP,0
P0A7V3,ATP,1
P0A7V3,ADP,1
P0A7V3,cAMP,0
P0A7V3,GTP,1
P0A7V3,GMP,0
P0AG67,L-Met,0
P0AG67,L-Phe,0
P0AG67,L-Val,0
P0AG67,L-Gln,0
P0AG67,Pyr,1
P0AG67,AKG,1
P0AG67,Mal,1
P0AG67,Cit,1
P0AG67,G6P,1
P0AG67,R5P,0
P0AG67,PGP,1
P0AG67,FBP,1
P0AG67,PEP,1
P0AG67,NAD,0
P0AG67,NADP,0
P0AG67,ATP,1
P0AG67,ADP,1
P0AG67,cAMP,0
P0AG67,GTP,1
P0AG67,GMP,0
P0A7W1,L-Met,0
P0A7W1,L-Phe,0
P0A7W1,L-Val,0
P0A7W1,L-Gln,0
P0A7W1,Pyr,1
P0A7W1,AKG,1
P0A7W1,Mal,1
P0A7W1,Cit,1
P0A7W1,G6P,0
P0A7W1,R5P,0
P0A7W1,PGP,1
P0A7W1,FBP,1
P0A7W1,PEP,1
P0A7W1,NAD,0
P0A7W1,NADP,0
P0A7W1,ATP,1
P0A7W1,ADP,1
P0A7W1,cAMP,0
P0A7W1,GTP,1
P0A7W1,GMP,0
P0A9P4,L-Met,0
P0A9P4,L-Phe,0
P0A9P4,L-Val,0
P0A9P4,L-Gln,1
P0A9P4,Pyr,0
P0A9P4,AKG,0
P0A9P4,Mal,1
P0A9P4,Cit,1
P0A9P4,G6P,1
P0A9P4,R5P,1
P0A9P4,PGP,1
P0A9P4,FBP,1
P0A9P4,PEP,0
P0A9P4,NAD,0
P0A9P4,NADP,1
P0A9P4,ATP,1
P0A9P4,ADP,0
P0A9P4,cAMP,0
P0A9P4,GTP,1
P0A9P4,GMP,0
P25665,L-Met,1
P25665,L-Phe,0
P25665,L-Val,0
P25665,L-Gln,0
P25665,Pyr,0
P25665,AKG,0
P25665,Mal,1
P25665,Cit,0
P25665,G6P,1
P25665,R5P,1
P25665,PGP,1
P25665,FBP,1
P25665,PEP,1
P25665,NAD,1
P25665,NADP,0
P25665,ATP,0
P25665,ADP,1
P25665,cAMP,0
P25665,GTP,1
P25665,GMP,0
P60422,L-Met,0
P60422,L-Phe,0
P60422,L-Val,0
P60422,L-Gln,0
P60422,Pyr,0
P60422,AKG,1
P60422,Mal,1
P60422,Cit,1
P60422,G6P,1
P60422,R5P,0
P60422,PGP,1
P60422,FBP,1
P60422,PEP,1
P60422,NAD,0
P60422,NADP,0
P60422,ATP,1
P60422,ADP,1
P60422,cAMP,0
P60422,GTP,1
P60422,GMP,0
P00561,L-Met,0
P00561,L-Phe,1
P00561,L-Val,0
P00561,L-Gln,1
P00561,Pyr,0
P00561,AKG,0
P00561,Mal,1
P00561,Cit,1
P00561,G6P,1
P00561,R5P,0
P00561,PGP,0
P00561,FBP,1
P00561,PEP,0
P00561,NAD,1
P00561,NADP,1
P00561,ATP,1
P00561,ADP,0
P00561,cAMP,0
