EC-Number,b-id
1.5.1.20,b3941
2.4.2.10,b3642
3.6.3.14,b3734
2.1.1.45,b2827
2.3.1.54,b0903
2.2.1.7,b0420
4.1.1.49,b3403
2.7.1,
1.2.1.10,b1241
2.7.1.59,b1119
6.1.1.10,b2114
4.1.3.40,b4039
5.4.2.7,b4383
2.6.1.6,b4054
2.3.1.79,b0459
2.7.7.9,b1236
1.1.1.3,b0002
2.5.1.15,b3177
6.1.1.7,b2697
2.7.7.12,b0758
1.2.1.72,b2927
1.7.1.7,b0104
4.2.3.1,b0004
2.8.3.16,b2374
6.3.3.3,b0778
5.1.1.3,b3967
3.6.1.23,b3640
4.3.1.19,b3772
2.5.1.19,b0908
4.2.1.40,b2787
1.3.99.22,b3867
5.4.99.9,b2036
2.7.1.33,b3974
6.1.1.19,b1876
3.6.3.5,b3469
2.7.1.69,
1.1.1.130,b3575
2.3.1.157,b3730
3.4.16.4,b0632
2.1.1.13,b4019
3.5.4.9,b0529
2.1.1.10,b0261
2.7.9.2,b1702
5.1.3.2,b0759
1.8.1.7,b3500
1.1.1.86,b3774
3.6.1.1,b0383
2.7.4.6,b2518
6.3.2.8,b0091
6.3.3.1,b2499
2.5.1.39,b4040
6.1.1.16,b0526
2.3.1.41,b2323
4.1.3.6,b0617
2.7.1.30,b3926
4.1.3.1,b4015
6.1.1.3,b1719
1.3.1.9,b1288
2.4.2.18,b1263
1.4.1.13,b3212
2.7.7.63,b4386
6.3.4.13,b4005
2.4.99.13,b3633
3.1.3.3,b0383
1.2.4.1,b0114
1.5.1.39,b3844
1.7.1.4,
3.6.3.21,b0652
3.1.1.5,b0494
1.1.1.140,b2705
2.7.1.35,b2418
4.1.3.3,b3225
2.3.1.9,b2224
4.6.1.1,b3806
3.6.3.20,b3450
3.2.2.9,b0159
3.5.4.2,b3665
1.1.1.6,b3945
2.7.2.11,b0242
1.2.1.21,b1415
6.3.2.5,b3639
2.3.1.47,b0776
2.7.6.1,b1207
3.2.1.28,b1197
3.6.3.12,b0697
6.1.1.18,b0680
1.2.1.8,b0312
3.5.1.16,b3957
2.4.2.19,b0109
1.1.1.169,b3774
2.4.2.17,b2019
3.5.4.13,b2065
3.1.3.11,b0383
2.3.3.9,b4014
6.2.1.26,b2260
4.1.2.19,b3902
2.7.6.5,b2784
6.3.5.2,b2507
3.6.3.27,b3725
2.4.99.12,b3633
1.14.11.17,b0368
3.5.1.25,b0677
1.1.1.271,b2052
2.7.1.49,b2418
6.3.1.5,b1740
1.1.1.22,b2028
2.4.2.9,b2498
2.1.1.79,b1661
3.1.3.89,b0480
3.1.3,
3.1.3.25,b2533
3.1.3.7,b4214
4.1.1.19,b2938
2.7.8.5,b1912
4.1.1.48,b1262
4.1.1.47,b0507
4.1.3.39,b0352
1.5.1.5,b0529
2.7.1.15,b3752
1.1.99.33,b4079
1.3.3.3,b2436
4.1.1.65,b4160
1.14.12.17,b2552
4.3.1.1,b4139
6.3.5.4,b0674
5.3.1.8,b1613
1.1.1.58,b1521
2.3.1.180,b1091
3.5.4.5,b2143
2.1.2.11,b0134
1.4.3.5,b1638
6.1.1.21,b2514
4.2.1.47,b2053
3.2.1.20,b0403
2.7.7.60,b2747
3.1.3.45,b3198
4.1.1.36,b3639
2.5.1.7,b3189
2.7.7.24,b2039
5.3.1.4,b0062
1.17.1.2,b0029
2.7.1.25,b2750
1.2.1.22,b1415
6.3.4.4,b4177
5.3.1.12,b3092
1.6.5.3,
3.5.1.10,b1232
2.5.1.6,b2942
2.7.2.4,b0002
6.3.2.17,b2315
2.7.1.48,b2066
2.8.1.2,b2521
1.1.1.100,b1093
4.2.1.24,b0369
2.7.1.53,b3580
1.5.1.2,b0386
1.7.99.4,
2.7.8.7,b2563
1.1.1.23,b2020
4.1.1.8,b2373
2.3.3.13,b0074
5.3.1.5,b3565
1.1.1.49,b1852
3.6.3.16,
3.5.4.16,b2153
6.3.5.5,b0032
4.1.1.15,b1493
4.2.1.7,b3091
2.3.1.191,b0179
3.1.4.16,b4213
5.4.99.5,b2599
2.4.2.4,b4382
5.3.1.13,b2708
3.6.1,
3.4.13.18,b0237
4.1.1.98,b3843
4.1.1.50,b0120
2.5.1.55,b1215
4.1.1.85,b4196
6.1.1.5,b0026
6.1.1.20,b1714
6.3.2.6,b2476
4.2.1.19,b2022
2.7.4.8,b3648
6.3.5.3,b2557
6.3.2.2,b2688
4.1.2.55,
4.1.2.25,b3058
2.6.1.62,b0774
4.1.1.31,b3956
5.3.1.3,b2802
4.1.2.17,b2800
2.7.1.40,b1676
3.6.1.26,b3918
2.3.1.1,b2818
1.8.4.8,b2762
2.7.7.3,b3634
2.7.7.23,b3730
1.5.1.3,b0048
1.17.4.1,b2235
3.1.3.18,b0383
2.6.1.11,b2662
2.7.7.38,b0918
4.1.2.20,b3126
3.2.1.86,b3721
2.7.7,
1.2.1.38,b3958
6.1.1.6,b4129
3.1.7.2,b3650
4.2.1.12,b1851
2.2.1.6,b3671
5.3.1.9,b4025
2.3.1.117,b0166
2.1.3.2,b4244
4.2.3.3,b0963
4.1.1.23,b1281
4.2.3.4,b3389
6.3.2.1,b0133
1.11.1.6,b1732
1.1.1.57,b4323
