EC_number,bigg.metabolite
1.1.1.6,k
1.1.1.49,spmd
1.1.1.169,for
1.1.1.336,acgam1p
1.2.1.10,nad
1.2.1.21,pydx
1.2.1.21,pydx5p
1.2.1.21,pydxn
1.2.1.22,cys__l
1.4.1.4,amp
1.4.1.4,atp
1.4.1.4,utp
1.4.3.16,asp__l
1.6.1.1,adp
1.6.1.1,amp
1.6.1.1,atp
1.7.1.4,nad
1.7.1.4,nad
1.8.1.9,cys__l
1.8.1.9,cys__l
1.8.1.9,cys__l
1.8.1.9,pi
1.11.1.6,his__l
1.14.12.17,pheme
1.17.4.1,atp
1.17.4.1,atp
1.17.4.1,atp
1.17.4.1,atp
1.17.4.1,datp
1.17.4.1,datp
1.17.4.1,dctp
1.17.4.1,dgtp
1.17.4.1,dgtp
1.17.4.1,dgtp
1.17.4.1,dgtp
1.17.4.1,dttp
1.17.4.1,dttp
1.17.4.1,dttp
1.17.4.1,dttp
1.17.4.1,dttp
1.17.4.1,h2o2
2.1.1.10,cys__l
2.1.1.10,hcys__l
2.1.1.10,hom__l
2.1.1.10,cyst__l
2.1.1.13,k
2.1.1.13,na1
2.1.1.13,amet
2.1.1.13,amet
2.1.1.79,hco3
2.1.2.1,ser__l
2.1.3.2,adn
2.1.3.2,atp
2.1.3.2,atp
2.1.3.2,atp
2.1.3.2,atp
2.1.3.2,atp
2.1.3.2,ctp
2.1.3.2,ctp
2.1.3.2,mal__l
2.1.3.2,succ
2.1.3.2,utp
2.2.1.1,h2o2
2.2.1.9,thmpp
2.3.1.8,pyr
2.3.1.8,pyr
2.3.1.15,atp
2.3.1.41,pi
2.3.1.54,oxam
2.3.1.54,oxam
2.3.1.54,pyr
2.3.1.54,amet
2.3.1.54,amet
2.4.1.1,amp
2.4.1.21,cit
2.4.1.227,ca2
2.4.1.227,dmso
2.4.1.227,dmso
2.4.1.227,mg2
2.4.2.8,ac
2.4.2.9,gtp
2.4.2.9,gtp
2.4.2.9,gtp
2.4.2.14,prpp
2.5.1.6,amet
2.6.1.85,gln__l
2.6.1.85,4abz
2.7.1.11,adp
2.7.1.11,gdp
2.7.1.11,gdp
2.7.1.21,dcdp
2.7.1.21,dctp
2.7.1.21,gtp
2.7.1.25,cys__l
2.7.1.25,trdrd
2.7.1.40,fdp
2.7.1.40,fdp
2.7.1.40,g6p
2.7.1.40,pep
2.7.1.73,k
2.7.1.73,mg2
