Met,CID
10fthf,135398555
12dgr120,33979
12dgr140,89298
12dgr160,644078
12dgr161,53894296
12dgr180,102615
12dgr181,76040548
12ppd__R,259994
12ppd__S,439846
13dpg,46878409
14dhncoa,46878473
14glucan,4071695
15dap,3718401
1ddecg3p,71296161
1hdecg3p,46173172
1odec11eg3p,129320279
1odecg3p,49859619
1pyr5c,11966213
5dh4dglc,5288442
5drib,45489773
1tdec7eg3p,146036925
1tdecg3p,71296162
2tpr3dpcoa,71464471
5fthf,135398558
23dappa,46906042
5mta,439176
34hpp,6971070
23ddhb,45266758
35cgmp,135398569
5mthf,135398560
23dhacoa,46926262
5mtr,6419710
3amac,46173135
23dhb,54675818
3c2hmp,6857402
5prdmbz,49791947
23dhba,636431
6hmhpt,135398568
3c3hmp,6419727
23dhbzs,25244785
3c4mop,6419705
6hmhptpp,135398611
23dhdp,5460228
3dhguln,46878417
23dhmb,23615351
3dhgulnp,56927712
6pgc,36688186
23dhmp,21145376
6pgl,46926335
3dhq,5460271
3dhsk,5460360
23doguln,21145097
8aonn,25244029
25aics,86289088
25dkglcn,9548631
LalaDglu,25203551
25drapp,135398600
LalaDgluMdap,25203562
3hadpcoa,121225556
26dap_LL,1549100
3hbcoa,45266553
LalaLglu,7006474
26dap__M,1549101
N1aspmd,25203502
3hcinnm,54694258
2agpe120,90659368
Nmtrp,6921653
Sfglutth,25246250
2agpe140,53480919
aacald,18706033
3hdcoa,49859629
aacoa,45266540
2agpe160,53480922
aact,3692773
ac,175
3hddcoa,46173081
3hhcoa,52921626
3hhdcoa,53262365
2agpe180,90658453
acac,6971017
2agpe181,76043326
3hocoa,53262354
acald,177
acanth,5460071
2agpg140,90659368
accoa,45266541
3hodcoa,90657405
2agpg160,90659368
acetol,8299
acg5p,49791951
acg5sa,6857435
3hpp,5459847
3hpppn,6931501
acgam,439174
acgam1p,10979523
3htdcoa,46173488
3ig3p,46878464
acgam6p,11426583
2ahbut,21145135
acglc__D,5459944
3mob,5204641
2amsa,86289313
3mop,6857401
acglu,1549099
2aobut,86289686
acmalt,11349616
2cpr5p,45266701
acmana,22952041
2dda7p,5460215
acmanap,45266685
acmum6p,45266740
2ddg6p,44229082
acnam,6857396
3odcoa,53262297
