ModelMet,ArticleMet
10fthf_c,10fthf
15dap_c,15dap
1pyr5c_c,1pyr5c
23dappa_c,23dappa
5mta_c,5mta
5mthf_c,5mthf
6hmhpt_c,6hmhpt
6pgc_c,6pgc
3dhq_c,3dhq
8aonn_c,8aonn
aacoa_c,aacoa
ac_c,ac
acald_c,acald
accoa_c,accoa
3hpp_c,3hpp
acgam1p_c,acgam1p
acgam6p_c,acgam6p
3mob_c,3mob
acglu_c,acglu
2cpr5p_c,2cpr5p
2dda7p_c,2dda7p
2ddg6p_c,2ddg6p
actp_c,actp
2dr5p_c,2dr5p
ade_c,ade
adn_c,adn
3pg_c,3pg
adp_c,adp
3psme_c,3psme
3sala_c,3sala
adpglc_c,adpglc
4abut_c,4abut
adprib_c,adprib
ag_c,ag
4abz_c,4abz
2obut_c,2obut
agm_c,agm
4ahmmp_c,4ahmmp
ahcys_c,ahcys
air_c,air
akg_c,akg
4hbz_c,4hbz
4hthr_c,4hthr
alaala_c,alaala
4mop_c,4mop
2pg_c,2pg
4per_c,4per
4ppan_c,4ppan
2pglyc_c,2pglyc
altrn_c,altrn
amet_c,amet
ametam_c,ametam
amp_c,amp
anth_c,anth
ap5a_c,ap5a
appl_c,appl
aps_c,aps
ara5p_c,ara5p
etoh_c,etoh
f1p_c,f1p
f6p_c,f6p
fad_c,fad
ctp_c,ctp
fald_c,fald
aso3_c,aso3
cu2_c,cu2
aso4_c,aso4
fdp_c,fdp
cyan_c,cyan
cynt_c,cynt
fe2_c,fe2
aspsa_c,aspsa
fe3_c,fe3
atp_c,atp
cytd_c,cytd
dad_2_c,dad_2
betald_c,betald
damp_c,damp
datp_c,datp
for_c,for
btn_c,btn
dcacoa_c,dcacoa
but_c,but
dcdp_c,dcdp
dctp_c,dctp
fruur_c,fruur
fum_c,fum
ddcacoa_c,ddcacoa
g1p_c,g1p
g3p_c,g3p
ca2_c,ca2
camp_c,camp
dgsn_c,dgsn
dgtp_c,dgtp
cbm_c,cbm
