ppi,4.6.1.1
adp,2.7.1.11
amp,6.3.1.1
pyr,2.2.1.7
nadph,1.3.1.98
ctp,6.3.4.2
3dhq,4.2.1.10
coa,2.3.1.30
pep,2.7.9.2
oaa,2.3.3.16
nadph,1.2.1.41
ppi,6.1.1.19
ahcys,2.1.1.10
u3aga,2.3.1.129
amp,3.6.1.21
pep,2.7.1.40
ugmd,6.3.2.13
ahcys,3.2.2.9
pyr,4.1.3.39
atp,2.7.1.53
adp,6.3.3.3
nadph,1.4.1.13
so3,2.8.1.1
xmp,6.3.5.2
pi,2.5.1.54
succ,4.1.3.1
ctp,2.7.7.60
atp,3.1.7.2
pap,1.8.4.8
dhf,2.1.1.45
dttp,2.7.7.24
gtp,2.7.4.6
gcald,1.2.1.22
nad,1.2.1.10
ppi,2.7.7.27
dtmp,2.1.1.45
nadph,1.1.1.49
gmp,6.3.5.2
ppi,6.1.1.1
uacgam,2.7.7.23
thf,2.1.2.11
amp,2.7.9.3
gdp,2.7.4.8
adp,3.6.3.12
dpcoa,2.7.7.3
thf,2.1.1.13
adp,2.7.2.11
dhap,4.2.3.3
accoa,1.2.4.1
adp,6.2.1.5
pa160,2.7.1.107
pi,4.2.3.3
atp,6.1.1.19
ahcys,2.1.1.79
h2s,1.8.1.2
ppi,6.1.1.11
air,6.3.3.1
imp,1.7.1.7
adp,2.7.4.6
ac,3.5.1.25
pi,3.6.3.14
10fthf,1.5.1.5
uacgam,2.3.1.129
ppi,2.7.7.24
cmp,3.6.1.26
adp,2.7.4.16
ppi,6.2.1.1
kdo8p,2.5.1.55
atp,2.7.1.30
paps,2.7.1.25
atp,2.7.1.11
adp,2.7.1.59
aps,2.7.1.25
ppi,2.5.1.6
gdp,2.7.4.6
pep,2.5.1.19
acglu,2.3.1.1
coa,2.3.1.1
nadp,1.1.1.100
fad,1.5.1.39
uama,6.3.2.8
2cpr5p,5.3.1.24
mlthf,2.1.1.45
adp,2.7.1.33
pdx5p,1.4.3.5
uaccg,1.3.1.98
amp,6.1.1.4
2dda7p,4.2.3.4
2dda7p,2.5.1.54
glx,4.1.3.1
gam6p,2.6.1.16
pyr,2.3.1.54
ppi,2.4.2.19
pi,2.1.3.3
pyr,1.1.1.28
ppi,6.1.1.5
nad,1.1.1.57
adp,2.7.1.25
e4p,2.5.1.54
xmp,1.1.1.205
alaala,6.3.2.4
dhap,1.1.1.94
f6p,3.5.99.6
dttp,3.6.1.19
ade,3.2.2.9
amet,4.1.1.50
h2o2,1.15.1.1
amp,2.7.9.2
for,2.3.1.54
adp,2.7.1.73
atp,2.7.1.15
atp,4.1.1.49
nadp,1.8.1.9
for,1.1.99.33
atp,3.6.3.12
udp,2.4.1.227
nadp,1.8.1.2
dhpmp,3.6.1.67
g3p,2.2.1.7
nadph,1.5.1.2
pi,3.1.4.16
nadh,1.5.1.20
atp,6.2.1.5
pep,4.1.1.49
gam6p,3.5.1.25
nadp,1.1.1.271
amp,6.3.2.1
glyc3p,2.7.1.30
nadp,1.1.1.44
nadh,1.1.1.95
dhpt,6.3.2.17
g3p,4.1.2.13
nadp,1.3.1.98
oaa,4.1.3.6
nad,2.7.7.18
nadp,1.1.1.169
