id,MNX,inchi_key,cid
10fthf_c,MNXM237,AUFGTPPARQZWDO-YPMHNXCESA-L,135398555
12dgr120_c,MNXM4939,OQQOAWVKVDAJOI-UHFFFAOYSA-N,33979
12dgr140_c,MNXM146479,JFBCSFJKETUREV-UHFFFAOYSA-N,89298
12dgr141_c,MNXM4940,BGFRYQUZVKRYLY-UHFFFAOYSA-N,
12dgr160_c,MNXM3132,JEJLGIQLPYYGEE-XIFFEERXSA-N,644078
12dgr161_c,MNXM3774,HSQHRRHRYJNSOC-UHFFFAOYSA-N,53894296
12dgr180_c,MNXM4217,UHUSDOQQWJGJQS-UHFFFAOYSA-N,102615
12dgr181_c,MNXM3775,JQTCHIYVEDEVBR-UHFFFAOYSA-N,76040548
12ppd__R_c,MNXM90191,DNIAPMSPPWPWGF-GSVOUGTGSA-N,259994
12ppd__S_c,MNXM1255,DNIAPMSPPWPWGF-VKHMYHEASA-N,439846
13dpg_c,MNXM261,LJQLQCAXBUHEAZ-UWTATZPHSA-J,46878409
14dhncoa_c,MNXM147663,PYTINLGPKDJURZ-HSJNEKGZSA-J,46878473
14glucan_c,MNXM2905,OCIBBXPLUVYKCH-UHFFFAOYSA-N,4071695
15dap_c,MNXM943,VHRGRCVQAFMJIZ-UHFFFAOYSA-P,3718401
1ddecg3p_c,MNXM4232,STTKJLVEXMKLNA-CQSZACIVSA-L,71296161
1hdec9eg3p_c,MNXM91047,,
1hdecg3p_c,MNXM90586,YNDYKPRNFWPPFU-GOSISDBHSA-L,46173172
1odec11eg3p_c,MNXM91049,LWSYATLSXCUNTB-AQKVLALTSA-L,129320279
1odecg3p_c,MNXM32950,LAYXSTYJRSVXIH-HXUWFJFHSA-L,49859619
1pyr5c_c,MNXM1617,DWAKNKKXGALPNW-UHFFFAOYSA-M,11966213
5dh4dglc_c,MNXM854,QUURPCHWPQNNGL-ZAFYKAAXSA-L,5288442
2tdec7eg3p_c,MNXM5490,,
5drib_c,MNXM4391,WDRISBUVHBMJEF-MROZADKFSA-N,45489773
2tdecg3p_c,MNXM5491,,
1tdec7eg3p_c,MNXM91053,ABWKYTQKHWCOFM-XITLMJRVSA-L,146036925
1tdecg3p_c,MNXM3426,FAZBDRGXCKPVJU-MRXNPFEDSA-L,71296162
2tpr3dpcoa_c,MNXM2769,NFWZJXFBUKDGOX-HWCXJHOSSA-H,71464471
5fthf_c,MNXM1392,VVIAGPKUTFNRDU-STQMWFEESA-L,135398558
23dappa_c,MNXM91374,PECYZEOJVXMISF-REOHCLBHSA-N,46906042
5mta_c,MNXM150,WUUGFSXJNOTRMR-IOSLPCCCSA-N,439176
34hpp_c,MNXM153,KKADPXVIOXHVKN-UHFFFAOYSA-M,6971070
23ddhb_c,MNXM114261,INCSWYKICIYAHB-WDSKDSINSA-M,45266758
35cgmp_c,MNXM665,ZOOGRGPOEVQQDX-UUOKFMHZSA-M,135398569
5mthf_c,MNXM318,ZNOVTXRBGFNYRX-STQMWFEESA-L,135398560
23dhacoa_c,MNXM9750,ZFXICKRXPZTFPB-FZHFFJAKSA-I,46926262
5mtr_c,MNXM1592,ACWASDPGAVYCNI-JKUQZMGJSA-N,6419710
3amac_c,MNXM162288,YTLYLLTVENPWFT-UPHRSURJSA-M,46173135
23dhb_c,MNXM455,GLDQAMYCGOIJDV-UHFFFAOYSA-M,54675818
3c2hmp_c,MNXM891,RNQHMTFBUSSBJQ-CRCLSJGQSA-L,6857402
5prdmbz_c,MNXM1224,ZMRGXEJKZPRBPJ-SYQHCUMBSA-L,49791947
23dhba_c,MNXM1978,ULPVJDOMCRTJSN-RVXWVPLUSA-M,636431
6hmhpt_c,MNXM937,CQQNNQTXUGLUEV-UHFFFAOYSA-N,135398568
3c3hmp_c,MNXM985,BITYXLXUCSKTJS-ZETCQYMHSA-L,6419727
23dhbzs_c,MNXM1487,VDTYHTVHFIIEIL-LURJTMIESA-M,25244785
3c4mop_c,MNXM1602,HIIZAGQWABAMRR-BYPYZUCNSA-L,6419705
6hmhptpp_c,MNXM1160,FCQGJGLSOWZZON-UHFFFAOYSA-K,135398611
23dhdp_c,MNXM807,UWOCFOFVIBZJGH-YFKPBYRVSA-L,5460228
3dhguln_c,MNXM736,WTAHRPBPWHCMHW-LWKDLAHASA-M,46878417
23dhmb_c,MNXM114097,JTEYKUFKXGDTEU-VKHMYHEASA-M,23615351
3dhgulnp_c,MNXM1170,BDUIIKXSXFDPEC-LWKDLAHASA-K,56927712
6pgc_c,MNXM325,BIRSGZKFKXLSJQ-SQOUGZDYSA-K,36688186
23dhmp_c,MNXM1202,PDGXJDXVGMHUIR-UJURSFKZSA-M,21145376
6pgl_c,MNXM429,IJOJIVNDFQSGAB-SQOUGZDYSA-L,46926335
3dhq_c,MNXM478,WVMWZWGZRAXUBK-SYTVJDICSA-M,5460271
3dhsk_c,MNXM611,SLWWJZMPHJJOPH-PHDIDXHHSA-M,5460360
23doguln_c,MNXM958,GJQWCDSAOUMKSE-STHAYSLISA-M,21145097
8aonn_c,MNXM1141,GUAHPAJOXVYFON-UHFFFAOYSA-N,25244029
25aics_c,MNXM607,NAQGHJTUZRHGAC-ZZZDFHIKSA-J,86289088
ACP_c,MNXM925,,
3fe4s_c,MNXM147396,,
25dkglcn_c,MNXM936,RXMWXENJQAINCC-DMTCNVIQSA-M,9548631
3haACP_c,MNXM5861,,
LalaDglu_c,MNXM3630,VYZAGTDAHUIRQA-CRCLSJGQSA-M,25203551
25drapp_c,MNXM648,OCLCLRXKNJCOJD-UMMCILCDSA-L,135398600
LalaDgluMdap_c,MNXM90242,FMNCPUGORYYCEM-QCLAVDOMSA-N,25203562
3hadpcoa_c,MNXM2784,OTEACGAEDCIMBS-NOTSHUFBSA-I,121225556
26dap_LL_c,MNXM644,GMKMEZVLHJARHF-WHFBIAKZSA-N,1549100
3hbcoa_c,MNXM446,QHHKKMYHDBRONY-VKBDFPRVSA-J,45266553
LalaDgluMdapDala_c,MNXM59271,BAPAFFOXTCMVCC-UHFFFAOYSA-M,
LalaLglu_c,MNXM4026,VYZAGTDAHUIRQA-WHFBIAKZSA-M,7006474
26dap__M_c,MNXM529,GMKMEZVLHJARHF-SYDPRGILSA-N,1549101
N1aspmd_c,MNXM501,MQTAVJHICJWXBR-UHFFFAOYSA-P,25203502
3hcddec5eACP_c,MNXM5389,,
3hcinnm_c,MNXM1799,KKSDGJDHHZEWEP-SNAWJCMRSA-M,54694258
2agpe120_c,MNXM34808,NPAZKTOOMVQLIH-UHFFFAOYSA-N,90659368
3hcmrs7eACP_c,MNXM5390,,
Nmtrp_c,MNXM3055,CZCIKBSVHDNIDH-NSHDSACASA-N,6921653
Sfglutth_c,MNXM952,FHXAGOICBFGEBF-BQBZGAKWSA-M,25246250
2agpe140_c,MNXM34809,DDUZNLUWXLYPCP-UHFFFAOYSA-N,53480919
aacald_c,MNXM2212,LYIIBVSRGJSHAV-UHFFFAOYSA-O,18706033
3hcpalm9eACP_c,MNXM6556,,
2agpe141_c,MNXM3447,RBKXDGUVZHKXHJ-UHFFFAOYSA-N,
3hcvac11eACP_c,MNXM6557,,
3hdcoa_c,MNXM674,HIVSMYZAMUNFKZ-PNPVFPMQSA-J,49859629
aacoa_c,MNXM133,OJFDKHTZOUZBOS-CITAKDKDSA-J,45266540
2agpe160_c,MNXM34810,CKPBBEOJHAPPBT-HXUWFJFHSA-N,53480922
aact_c,MNXM1106,BCDGQXUMWHRQCB-UHFFFAOYSA-O,3692773
