id,ChEBI,CID
s_0001[ce],CHEBI:37671,64689
s_0002[c],CHEBI:37671,64689
s_0003[e],CHEBI:37671,64689
s_0004[ce],CHEBI:27380,64689
s_0006[m],CHEBI:57602,135398611
s_0007[c],CHEBI:57470,23615417
s_0008[m],CHEBI:49258,21145376
s_0009[c],CHEBI:35121,6857402
s_0010[c],CHEBI:17214,6419705
s_0011[m],CHEBI:17214,6419705
s_0012[m],CHEBI:57429,23615311
s_0013[c],CHEBI:53026,5283161
s_0014[n],CHEBI:53026,5283161
s_0015[c],CHEBI:57472,46878376
s_0016[m],CHEBI:49072,23615351
s_0017[c],CHEBI:15905,41635
s_0018[c],CHEBI:57557,24916915
s_0019[c],CHEBI:58146,25244548
s_0020[c],CHEBI:15686,439314
s_0021[c],CHEBI:16347,10917
s_0022[e],CHEBI:16347,10917
s_0023[m],CHEBI:16347,10917
s_0024[p],CHEBI:16347,10917
s_0025[c],CHEBI:16004,5460179
s_0026[e],CHEBI:16004,5460179
s_0027[m],CHEBI:16004,5460179
s_0028[c],CHEBI:36464,5288798
s_0029[e],CHEBI:36464,5288798
s_0030[c],CHEBI:15980,5289105
s_0031[c],CHEBI:29032,167945
s_0032[e],CHEBI:29032,167945
s_0033[c],CHEBI:57474,46878377
s_0034[m],CHEBI:57474,46878377
s_0035[c],CHEBI:16982,225936
s_0036[e],CHEBI:16982,225936
s_0037[c],CHEBI:15441,5459811
s_0038[er],CHEBI:15441,5459811
s_0039[m],CHEBI:49256,21145135
s_0042[p],CHEBI:28325,11966158
s_0045[p],CHEBI:52976,25271601
s_0048[p],CHEBI:27668,11966173
s_0051[p],CHEBI:27402,11966179
s_0054[p],CHEBI:27466,11966177
s_0056[c],CHEBI:35146,6857401
s_0058[e],CHEBI:35146,6857401
s_0060[m],CHEBI:35146,6857401
s_0061[c],CHEBI:30864,5460289
s_0062[c],CHEBI:18041,439231
s_0063[c],CHEBI:16651,5460161
s_0064[e],CHEBI:16651,5460161
s_0065[m],CHEBI:16651,5460161
s_0066[c],CHEBI:15589,5459792
s_0067[e],CHEBI:15589,5459792
s_0068[m],CHEBI:15589,5459792
s_0069[p],CHEBI:15589,5459792
s_0075[c],CHEBI:57604,46878409
s_0076[c],CHEBI:58613,45266701
s_0077[c],CHEBI:58435,71464470
s_0078[c],CHEBI:59457,45480652
s_0079[c],CHEBI:58444,45480544
s_0080[e],CHEBI:58444,45480544
s_0084[e],CHEBI:11230,
s_0086[c],CHEBI:60820,25246146
s_0087[c],CHEBI:16797,457
s_0089[c],CHEBI:57880,
s_0116[c],CHEBI:58509,23615442
s_0117[m],CHEBI:58509,23615442
s_0118[c],CHEBI:15893,11966213
s_0119[m],CHEBI:15893,11966213
s_0120[c],CHEBI:57454,135398555
s_0121[m],CHEBI:57454,135398555
s_0122[c],CHEBI:18364,165609
s_0123[n],CHEBI:57895,24742076
s_0124[n],CHEBI:57627,25201642
s_0125[n],CHEBI:203600,21761708
s_0126[c],CHEBI:58433,5288642
s_0127[er],CHEBI:58433,5288642
s_0129[m],CHEBI:58401,5288700
s_0131[c],CHEBI:60879,6992262
s_0132[c],CHEBI:17256,13730
s_0133[e],CHEBI:17256,13730
s_0134[c],CHEBI:17172,135398592
s_0135[e],CHEBI:17172,135398592
s_0136[c],CHEBI:28997,135398593
s_0137[e],CHEBI:28997,135398593
s_0138[c],CHEBI:16450,13712
s_0139[e],CHEBI:16450,13712
s_0140[c],CHEBI:58248,25200383
s_0141[c],CHEBI:58614,135398600
s_0142[c],CHEBI:52957,135911928
s_0143[c],CHEBI:17144,440342
s_0144[c],CHEBI:57784,25203042
s_0145[m],CHEBI:29123,6857435
s_0146[m],CHEBI:57774,13999769
s_0147[c],CHEBI:29044,9548579
s_0148[m],CHEBI:17083,135398568
s_0149[c],CHEBI:11561,16755619
s_0150[m],CHEBI:11561,16755619
s_0152[c],CHEBI:28816,5460005
s_0153[c],CHEBI:57651,23615346
s_0154[m],CHEBI:28753,135398717
s_0155[m],CHEBI:27752,5280826
s_0156[m],CHEBI:28711,5280827
s_0157[m],CHEBI:1109,5280825
s_0158[c],CHEBI:50606,669
s_0161[er],CHEBI:50626,18987871
s_0162[c],CHEBI:28107,6419726
s_0163[e],CHEBI:28107,6419726
s_0164[m],CHEBI:28107,6419726
s_0165[c],CHEBI:58085,21954611
s_0166[c],CHEBI:16182,7284
s_0167[e],CHEBI:16182,7284
s_0168[m],CHEBI:16182,7284
s_0169[c],CHEBI:48945,8723
s_0170[e],CHEBI:48945,8723
s_0171[m],CHEBI:48945,8723
s_0172[c],CHEBI:50585,12209
s_0173[e],CHEBI:50585,12209
s_0174[m],CHEBI:15598,5460420
s_0176[c],CHEBI:57499,23615192
s_0177[m],CHEBI:57499,23615192
s_0178[c],CHEBI:16763,3593277
s_0179[m],CHEBI:16763,3593277
s_0180[c],CHEBI:16810,164533
s_0181[e],CHEBI:16810,164533
s_0182[m],CHEBI:16810,164533
s_0183[n],CHEBI:16810,164533
s_0184[p],CHEBI:16810,164533
s_0185[c],CHEBI:49000,6054
s_0186[e],CHEBI:49000,6054
s_0187[m],CHEBI:49000,6054
s_0188[c],CHEBI:58289,40467846
s_0189[c],CHEBI:58756,5497105
s_0190[c],CHEBI:175763,15983959
s_0191[m],CHEBI:175763,15983959
s_0192[c],CHEBI:58165,7059571
s_0193[c],CHEBI:58003,25200362
s_0194[c],CHEBI:28074,188955
s_0195[c],CHEBI:57746,135398569
s_0196[c],CHEBI:27541,135398663
s_0197[c],CHEBI:57328,45266562
s_0200[m],CHEBI:57328,45266562
s_0201[c],CHEBI:58339,46926099
s_0204[c],CHEBI:36242,6971070
s_0206[p],CHEBI:36242,6971070
s_0207[c],CHEBI:57766,25244516
s_0208[c],CHEBI:58374,21286229
s_0209[c],CHEBI:50593,24906328
s_0210[c],CHEBI:32364,5460271
s_0211[c],CHEBI:16630,5460360
s_0212[c],CHEBI:58373,54692919
s_0213[m],CHEBI:58373,54692919
s_0214[m],CHEBI:57916,54692918
s_0215[c],CHEBI:31116,11954011
s_0216[m],CHEBI:31116,11954011
s_0217[c],CHEBI:52960,44176395
s_0218[c],CHEBI:11814,91506
s_0221[m],CHEBI:11814,91506
s_0222[c],CHEBI:17380,11811
s_0224[c],CHEBI:36559,54675871
s_0229[p],CHEBI:50583,24906329
s_0231[er],CHEBI:58299,49852310
s_0232[c],CHEBI:11851,5204641
s_0233[m],CHEBI:11851,5204641
s_0234[c],CHEBI:16638,11552
s_0235[e],CHEBI:16638,11552
s_0236[m],CHEBI:16638,11552
s_0239[p],CHEBI:28528,11966155
s_0243[p],CHEBI:52977,25271602
s_0247[p],CHEBI:27868,11966169
s_0250[p],CHEBI:50571,22833664
s_0253[p],CHEBI:57349,25244191
s_0257[p],CHEBI:28726,11966197
s_0258[c],CHEBI:18110,5460375
s_0259[c],CHEBI:57524,7059387
s_0260[c],CHEBI:58272,25245548
s_0261[c],CHEBI:145989,14506806
s_0262[c],CHEBI:17813,443212
s_0263[c],CHEBI:53066,44224022
s_0264[c],CHEBI:58452,45480653
s_0267[c],CHEBI:57841,25245586
s_0268[c],CHEBI:58354,25244846
s_0269[c],CHEBI:35181,6857399
s_0270[c],CHEBI:16892,777
s_0271[c],CHEBI:17836,4876
s_0272[e],CHEBI:17836,4876
s_0273[m],CHEBI:17836,4876
s_0274[c],CHEBI:58264,25245200
s_0275[m],CHEBI:58264,25245200
s_0279[c],CHEBI:53064,16752671
s_0280[c],CHEBI:58365,25243936
s_0281[c],CHEBI:15728,500
s_0282[c],CHEBI:17742,5459960
s_0283[m],CHEBI:17742,5459960
s_0284[p],CHEBI:17742,5459960
s_0285[c],CHEBI:28330,193577
s_0286[c],CHEBI:17879,54675830
s_0287[m],CHEBI:17879,54675830
s_0290[m],CHEBI:57356,45266585
s_0291[c],CHEBI:17865,3527278
s_0292[m],CHEBI:17865,3527278
s_0293[c],CHEBI:58296,25245616
s_0294[c],CHEBI:16723,4584184
s_0295[c],CHEBI:30407,5460236
s_0296[c],CHEBI:1949,22212495
s_0297[c],CHEBI:50591,22298938
s_0298[c],CHEBI:58243,49852317
s_0299[c],CHEBI:58443,86289088
s_0300[c],CHEBI:58592,45266696
s_0301[c],CHEBI:58426,45266641
